flight_id,airline,origin,destination,departure_hour,distance_km,nb_passengers,weather_score,runway_congestion,aircraft_age_years,delay_minutes,severe_delay
FL00028,Ryanair,CDG,LHR,10,2767.6,214,5.0,0.561,4,29.4,0
FL00029,AirFrance,FCO,LHR,17,415.3,269,2.3,0.308,2,53.8,1
FL00030,Lufthansa,FCO,CDG,11,2796.4,288,7.7,0.237,6,-0.2,0
FL00031,Lufthansa,MAD,CDG,5,2657.0,250,4.7,0.735,8,20.4,0
FL00032,AirFrance,MAD,CDG,15,1011.8,315,8.4,0.223,22,53.7,1
FL00033,Lufthansa,MAD,FRA,8,3065.9,222,5.6,0.844,11,46.5,1
FL00034,Ryanair,LHR,FCO,8,422.4,302,8.1,0.984,4,35.4,1
FL00035,EasyJet,AMS,LHR,8,442.0,303,,0.538,24,58.0,1
FL00036,Lufthansa,FRA,AMS,2,3336.4,249,7.0,0.9,17,10.0,0
FL00037,Ryanair,FCO,MAD,10,1587.7,231,2.7,0.379,24,63.3,1
FL00038,Ryanair,MAD,FCO,0,1272.4,187,6.2,0.465,15,-4.8,0
FL00039,Lufthansa,AMS,MAD,23,843.0,123,7.0,0.093,25,12.0,0
FL00040,Lufthansa,LHR,CDG,1,1083.5,323,7.9,0.886,19,46.5,1
FL00041,Lufthansa,FCO,MAD,15,1578.9,155,1.0,0.77,4,48.1,1
FL00042,British,MAD,CDG,17,1097.4,142,8.2,0.988,20,17.7,0
FL00043,Ryanair,MAD,FCO,23,3154.5,298,5.9,0.744,16,-9.7,0
FL00044,Ryanair,AMS,MAD,20,1065.6,305,3.6,0.32,18,47.9,1
FL00045,AirFrance,LHR,FRA,7,1525.7,158,1.6,0.543,14,83.7,1
FL00046,EasyJet,AMS,CDG,18,1517.2,83,3.7,0.892,14,73.0,1
FL00047,British,FCO,AMS,19,3173.0,329,4.9,,11,-1.8,0
FL00048,Lufthansa,MAD,LHR,19,2009.2,281,7.0,0.429,15,-19.0,0
FL00049,Lufthansa,CDG,MAD,12,1347.5,312,7.9,0.752,14,24.9,0
FL00050,AirFrance,FCO,AMS,1,3499.7,259,1.6,0.04,1,40.3,1
FL00051,Lufthansa,LHR,CDG,19,787.6,144,2.0,0.465,9,41.6,1
FL00052,British,FCO,CDG,5,3387.1,135,9.4,0.908,13,9.9,0
FL00053,EasyJet,FCO,LHR,2,2194.7,204,8.0,0.6,4,19.2,0
FL00054,AirFrance,FRA,FCO,13,2416.9,115,4.1,0.822,4,-5.9,0
FL00055,EasyJet,FRA,AMS,22,789.6,170,9.7,0.808,18,29.3,0
FL00056,British,FRA,MAD,7,2958.3,124,5.1,0.57,22,-7.6,0
FL00057,EasyJet,FRA,CDG,15,3023.0,173,4.2,0.28,20,3.9,0
FL00058,AirFrance,AMS,LHR,2,1072.3,288,7.8,0.646,16,-9.2,0
FL00059,EasyJet,CDG,LHR,9,1009.1,204,6.2,0.531,14,41.6,1
FL00060,Ryanair,FCO,MAD,8,1281.2,198,2.7,0.536,25,44.3,1
FL00061,Lufthansa,LHR,FRA,23,1849.4,348,9.8,0.296,12,11.8,0
FL00062,British,LHR,MAD,1,3417.7,229,2.1,0.491,1,33.8,1
FL00063,British,FRA,AMS,15,1709.5,174,3.3,0.114,3,22.0,0
FL00064,AirFrance,LHR,FRA,18,3337.2,123,2.1,0.606,20,45.7,1
FL00065,Lufthansa,AMS,MAD,14,3207.2,232,9.9,0.621,20,21.1,0
FL00066,Lufthansa,FCO,LHR,8,2413.4,160,6.0,0.409,23,17.2,0
FL00067,British,MAD,FRA,1,1040.7,224,5.1,0.924,21,-13.1,0
FL00068,Lufthansa,MAD,CDG,17,1019.4,156,8.4,0.166,10,-4.1,0
FL00069,British,FCO,AMS,9,1705.3,319,7.3,0.5,16,-21.2,0
FL00070,EasyJet,FCO,FRA,19,1101.2,126,7.1,0.587,1,32.9,1
FL00071,Ryanair,AMS,CDG,5,1805.6,306,2.6,0.635,16,62.6,1
FL00072,EasyJet,FRA,MAD,21,634.7,162,7.2,0.945,25,19.6,0
FL00073,British,CDG,AMS,2,1306.5,245,8.0,0.825,1,7.9,0
FL00074,EasyJet,CDG,FRA,16,1457.7,335,7.8,0.549,10,-16.2,0
FL00075,EasyJet,FCO,MAD,3,392.4,202,3.8,,14,95.0,1
FL00076,AirFrance,MAD,CDG,20,2962.9,335,3.6,0.415,16,73.1,1
FL00077,EasyJet,LHR,AMS,17,762.9,177,5.6,0.864,9,42.0,1
FL00078,Ryanair,AMS,FRA,0,1205.1,232,6.2,0.865,15,-18.6,0
FL00079,British,MAD,FRA,10,2066.1,273,3.9,0.697,19,-6.5,0
FL00080,EasyJet,CDG,MAD,23,1813.5,275,7.0,0.981,16,58.0,1
FL00081,AirFrance,LHR,FCO,18,1362.4,131,5.0,0.457,24,51.2,1
FL00082,Lufthansa,CDG,AMS,8,1383.4,283,8.7,0.859,13,74.8,1
FL00083,Ryanair,FCO,MAD,17,414.9,115,7.2,0.227,3,14.6,0
FL00084,AirFrance,MAD,LHR,22,1258.3,94,,0.293,12,14.6,0
FL00085,EasyJet,LHR,FRA,16,1618.6,172,1.7,0.62,8,-3.1,0
FL00086,Lufthansa,MAD,FRA,14,1117.0,84,5.2,0.547,3,10.5,0
FL00087,EasyJet,FRA,FCO,9,2344.6,297,5.1,0.999,16,44.2,1
FL00088,Ryanair,AMS,FRA,22,1244.7,282,6.1,0.745,2,45.2,1
FL00089,British,FCO,MAD,9,2782.4,197,4.2,0.621,22,11.5,0
FL00090,Lufthansa,FCO,CDG,20,2368.3,238,1.3,0.131,10,-12.7,0
FL00091,Ryanair,FCO,MAD,5,942.5,267,9.2,0.257,16,35.5,1
FL00092,Ryanair,CDG,AMS,2,750.4,195,7.5,0.967,18,25.7,0
FL00093,Ryanair,CDG,AMS,0,1146.3,143,7.1,0.585,21,26.1,0
FL00094,Lufthansa,MAD,CDG,19,3129.6,247,3.0,,15,35.6,1
FL00095,Ryanair,FCO,MAD,3,747.3,99,5.4,0.887,5,11.6,0
FL00096,British,MAD,FCO,23,2625.1,292,8.5,0.939,9,40.5,1
FL00097,AirFrance,FCO,FRA,6,1718.8,200,1.9,0.544,21,14.1,0
FL00098,Lufthansa,CDG,AMS,2,2420.9,90,,0.989,19,44.5,1
FL00099,Lufthansa,CDG,FCO,6,2176.4,199,2.3,0.003,5,61.1,1
FL00100,Lufthansa,CDG,LHR,4,347.6,201,1.1,0.127,14,27.6,0
FL00101,British,CDG,LHR,15,1734.5,265,2.0,0.945,2,37.2,1
FL00102,British,FRA,AMS,20,3384.9,111,8.6,0.108,23,-44.1,0
FL00103,EasyJet,CDG,LHR,10,2246.6,113,6.6,0.712,13,55.7,1
FL00104,EasyJet,AMS,FCO,13,617.4,138,6.9,0.721,7,24.0,0
FL00105,EasyJet,MAD,LHR,13,1384.6,312,7.6,0.313,9,-0.1,0
FL00106,EasyJet,CDG,LHR,2,598.3,129,4.4,0.06,18,20.2,0
FL00107,British,FRA,CDG,13,1431.5,296,7.5,0.6,12,33.7,1
FL00108,Lufthansa,FCO,MAD,7,3011.3,259,4.3,0.574,14,38.0,1
FL00109,British,AMS,FCO,21,2356.6,93,6.9,0.029,9,3.7,0
FL00110,Ryanair,FRA,CDG,5,3083.6,285,7.7,0.092,17,-5.6,0
FL00111,Lufthansa,MAD,AMS,14,1390.9,269,3.9,0.596,2,53.4,1
FL00112,AirFrance,FCO,CDG,8,1718.0,297,5.0,0.755,4,69.7,1
FL00113,Ryanair,MAD,CDG,9,2470.3,329,3.8,0.984,2,71.2,1
FL00114,Lufthansa,LHR,MAD,9,1350.0,83,4.9,0.533,8,11.0,0
FL00115,British,AMS,FRA,2,1570.6,101,5.1,0.313,14,-25.2,0
FL00116,EasyJet,FRA,CDG,12,366.7,246,9.5,0.69,12,-7.5,0
FL00117,AirFrance,MAD,CDG,7,1694.2,285,4.6,0.34,11,21.8,0
FL00118,AirFrance,AMS,FCO,6,3199.0,258,9.6,0.148,4,0.2,0
FL00119,Lufthansa,FRA,LHR,5,2227.7,118,8.0,0.754,25,-8.2,0
FL00120,British,FCO,AMS,10,3065.6,241,1.6,0.303,9,11.9,0
FL00121,British,CDG,MAD,16,537.4,316,1.5,0.077,3,7.7,0
FL00122,EasyJet,AMS,FCO,23,3166.8,310,6.1,0.605,17,-9.7,0
FL00123,Lufthansa,CDG,AMS,3,2895.1,255,1.8,0.039,23,5.1,0
FL00124,British,AMS,LHR,11,1493.1,224,8.0,0.052,21,20.3,0
FL00125,Ryanair,CDG,MAD,3,2085.5,277,7.5,0.906,5,13.5,0
FL00126,Lufthansa,FRA,MAD,20,2535.1,280,7.4,0.559,21,38.6,1
FL00127,Ryanair,LHR,FCO,2,2367.3,296,1.2,0.951,11,77.3,1
FL00128,Lufthansa,LHR,FRA,2,1246.5,131,5.9,0.527,22,0.7,0
FL00129,Ryanair,AMS,LHR,19,1505.5,163,7.2,0.903,24,16.2,0
FL00130,Lufthansa,MAD,FCO,9,2707.7,309,3.2,0.784,7,54.8,1
FL00131,Ryanair,FCO,AMS,14,1777.4,224,5.5,0.162,7,19.3,0
FL00132,Ryanair,CDG,AMS,11,2074.5,132,5.6,0.084,6,2.1,0
FL00133,Ryanair,MAD,FCO,4,2959.3,126,3.0,0.35,1,13.4,0
FL00134,Ryanair,LHR,AMS,2,1499.7,94,1.9,0.335,5,47.8,1
FL00135,Lufthansa,CDG,MAD,15,2527.4,151,5.2,0.906,1,23.2,0
FL00136,British,FCO,AMS,16,1654.4,227,2.1,0.639,20,77.4,1
FL00137,EasyJet,CDG,LHR,15,2209.6,88,6.2,0.291,1,-3.9,0
FL00138,EasyJet,LHR,CDG,16,3418.9,114,5.9,0.508,1,-2.2,0
FL00139,EasyJet,MAD,CDG,20,1538.0,271,1.1,0.345,24,23.6,0
FL00140,British,FCO,FRA,4,441.9,253,2.6,0.465,23,20.2,0
FL00141,EasyJet,FCO,LHR,4,501.9,314,,0.791,2,16.4,0
FL00142,EasyJet,AMS,MAD,8,417.2,177,8.8,,21,39.7,1
FL00143,Ryanair,FRA,CDG,11,1698.2,284,9.1,0.974,16,21.5,0
FL00144,British,FRA,CDG,23,1658.4,300,8.4,0.321,3,-12.4,0
FL00145,Ryanair,FCO,FRA,9,1726.9,298,5.0,0.727,12,9.9,0
FL00146,AirFrance,CDG,AMS,11,1941.9,161,2.3,0.781,2,27.4,0
FL00147,Lufthansa,CDG,FRA,20,1472.3,276,1.3,0.45,12,0.6,0
FL00148,British,LHR,FCO,11,1573.7,222,2.0,0.499,13,60.6,1
FL00149,British,CDG,MAD,8,2552.9,189,3.6,0.491,4,46.5,1
FL00150,Lufthansa,FCO,MAD,2,2893.6,243,7.4,0.29,10,17.4,0
FL00151,Lufthansa,FCO,LHR,11,1928.0,142,8.1,0.494,12,-12.6,0
FL00152,British,LHR,FCO,2,510.4,283,7.5,0.769,19,17.0,0
FL00153,AirFrance,LHR,MAD,20,537.3,318,4.1,0.78,21,-11.4,0
FL00154,Lufthansa,MAD,FCO,1,2960.5,345,2.5,0.709,12,22.6,0
FL00155,British,FRA,CDG,8,928.2,220,3.7,0.503,6,12.4,0
FL00156,Lufthansa,FCO,AMS,23,3186.4,252,6.1,0.028,2,-8.0,0
FL00157,British,FRA,LHR,18,1633.1,95,6.6,0.957,16,36.5,1
FL00158,EasyJet,FRA,AMS,2,2503.6,160,5.4,0.607,11,55.3,1
FL00159,Ryanair,FCO,FRA,12,718.5,269,2.0,0.123,15,35.1,1
FL00160,Ryanair,MAD,FCO,13,1094.5,161,9.4,0.19,6,26.3,0
FL00161,EasyJet,AMS,MAD,15,3113.0,334,,0.505,8,15.1,0
FL00162,AirFrance,FRA,AMS,19,3123.5,320,1.1,0.134,9,62.8,1
FL00163,Ryanair,MAD,FRA,1,1581.9,179,3.6,0.45,18,21.0,0
FL00164,British,CDG,FRA,3,1560.5,253,4.3,0.602,13,83.8,1
FL00165,British,CDG,LHR,1,738.5,250,5.7,0.893,5,8.8,0
FL00166,Lufthansa,MAD,FCO,23,2996.3,252,5.6,0.563,16,40.4,1
FL00167,AirFrance,FRA,MAD,21,650.7,293,8.2,0.688,1,-6.1,0
FL00168,British,AMS,LHR,23,464.3,325,6.7,0.841,5,13.8,0
FL00169,Lufthansa,CDG,FCO,22,651.7,89,4.8,0.204,17,18.8,0
FL00170,AirFrance,FCO,LHR,16,963.5,246,5.3,0.957,15,-30.6,0
FL00171,British,FRA,FCO,11,2462.8,215,2.7,0.558,8,96.2,1
FL00172,Ryanair,FCO,LHR,22,2556.0,242,6.0,0.722,10,4.5,0
FL00173,AirFrance,AMS,FCO,12,3166.4,282,9.6,0.29,10,19.7,0
FL00174,EasyJet,FCO,FRA,23,1833.1,183,3.4,0.272,4,27.2,0
FL00175,British,FCO,AMS,7,1075.9,195,1.5,0.717,4,49.3,1
FL00176,British,LHR,AMS,20,3292.1,323,2.8,0.321,21,17.7,0
FL00177,AirFrance,CDG,FCO,7,2012.5,99,2.6,0.176,2,65.1,1
FL00178,EasyJet,LHR,MAD,1,329.7,134,4.0,0.641,17,9.6,0
FL00179,EasyJet,LHR,FCO,14,1173.1,137,7.6,0.719,1,21.3,0
FL00180,British,FCO,LHR,5,2255.1,287,5.6,0.669,6,-34.1,0
FL00181,Lufthansa,MAD,FRA,7,321.9,276,7.8,0.302,24,2.5,0
FL00182,Ryanair,FCO,LHR,1,2436.9,318,4.6,0.895,23,21.4,0
FL00183,Ryanair,FCO,CDG,20,3231.6,231,3.0,0.478,15,34.5,1
FL00184,EasyJet,FCO,AMS,15,2723.5,191,7.1,0.787,17,-9.1,0
FL00185,EasyJet,AMS,FRA,2,3235.2,137,5.9,0.573,5,35.1,1
FL00186,EasyJet,CDG,FRA,22,2166.1,126,5.0,,5,52.2,1
FL00187,British,MAD,AMS,18,484.8,316,3.8,,9,56.8,1
FL00188,British,CDG,LHR,13,1402.5,112,1.5,0.986,16,7.2,0
FL00189,AirFrance,FRA,AMS,5,2760.7,295,9.0,0.917,13,-1.9,0
FL00190,British,LHR,MAD,3,871.1,281,7.6,0.003,1,36.7,1
FL00191,Ryanair,MAD,FCO,13,2002.2,197,4.1,0.937,24,30.6,1
FL00192,EasyJet,AMS,CDG,7,959.5,131,5.0,0.872,8,28.6,0
FL00193,AirFrance,MAD,AMS,7,2027.2,108,9.9,0.916,19,20.8,0
FL00194,Ryanair,LHR,MAD,4,3454.2,346,3.7,,19,65.6,1
FL00195,Lufthansa,FCO,MAD,17,1886.0,256,7.0,0.319,14,2.3,0
FL00196,Lufthansa,AMS,MAD,7,3017.9,233,2.3,0.058,14,51.5,1
FL00197,EasyJet,AMS,FCO,4,1542.9,210,6.8,0.847,3,-20.8,0
FL00198,AirFrance,FRA,AMS,21,2235.9,100,2.7,0.724,18,34.6,1
FL00199,Lufthansa,MAD,LHR,10,1270.2,87,2.7,0.747,25,26.5,0
FL00200,British,FCO,LHR,12,3228.4,244,4.4,0.359,9,12.5,0
FL00201,Ryanair,AMS,MAD,14,615.5,320,3.9,0.313,2,18.7,0
FL00202,Lufthansa,CDG,MAD,17,3291.2,293,2.8,0.57,8,33.2,1
FL00203,EasyJet,AMS,FRA,8,2742.8,330,6.8,0.168,12,39.4,1
FL00204,EasyJet,LHR,FCO,20,3363.2,348,,0.945,22,59.9,1
FL00205,AirFrance,CDG,AMS,4,2996.1,198,2.4,0.456,2,2.6,0
FL00206,British,MAD,AMS,0,321.2,290,,0.275,10,-15.0,0
FL00207,AirFrance,AMS,MAD,5,642.5,129,3.2,0.252,12,27.3,0
FL00208,Ryanair,MAD,AMS,18,1078.3,195,8.5,0.992,21,65.0,1
FL00209,AirFrance,CDG,AMS,12,1506.9,323,,,6,51.9,1
FL00210,Ryanair,AMS,CDG,16,3241.3,197,8.8,0.476,2,39.0,1
FL00211,AirFrance,FCO,FRA,17,2103.2,96,8.7,,7,-15.7,0
FL00212,EasyJet,CDG,MAD,5,2104.7,279,5.9,0.74,23,3.3,0
FL00213,AirFrance,AMS,FRA,1,612.6,198,4.1,0.955,13,46.8,1
FL00214,Ryanair,MAD,AMS,7,1438.6,272,7.1,0.086,20,20.7,0
FL00215,Ryanair,LHR,CDG,2,1157.5,274,6.7,0.317,4,65.2,1
FL00216,EasyJet,FRA,MAD,3,724.0,175,6.0,0.103,3,42.5,1
FL00217,Ryanair,AMS,CDG,19,2213.7,246,1.1,0.779,24,104.1,1
FL00218,Lufthansa,AMS,FCO,5,2493.0,166,3.7,0.063,14,-1.6,0
FL00219,Ryanair,MAD,FRA,15,2804.5,264,3.2,0.594,7,22.0,0
FL00220,AirFrance,MAD,FRA,19,1515.6,248,4.9,0.651,20,23.5,0
FL00221,Lufthansa,FRA,MAD,19,3331.3,182,2.6,0.319,24,30.2,1
FL00222,British,LHR,MAD,12,1197.0,281,9.4,0.997,6,-2.3,0
FL00223,British,CDG,AMS,22,970.9,229,1.6,0.795,22,9.6,0
FL00224,Lufthansa,FRA,LHR,22,1654.0,273,9.9,0.401,17,10.2,0
FL00225,EasyJet,AMS,CDG,11,2545.2,123,3.2,0.166,20,98.9,1
FL00226,EasyJet,FRA,AMS,3,333.8,212,7.7,0.688,8,29.7,0
FL00227,EasyJet,FRA,AMS,14,2771.5,336,10.0,0.295,3,54.3,1
FL00228,Lufthansa,FRA,MAD,10,1757.1,185,4.1,0.722,15,64.6,1
FL00229,Ryanair,CDG,MAD,1,2892.6,138,,0.109,6,52.1,1
FL00230,British,LHR,FCO,5,1359.2,298,3.1,0.184,21,12.5,0
FL00231,EasyJet,MAD,CDG,23,2265.1,181,4.9,,7,21.5,0
FL00232,AirFrance,AMS,CDG,17,898.3,246,2.0,0.489,21,80.2,1
FL00233,Ryanair,AMS,MAD,19,1556.1,138,8.6,0.814,23,57.5,1
FL00234,British,CDG,FRA,10,677.2,236,4.4,0.388,20,-43.2,0
FL00235,Lufthansa,AMS,MAD,13,894.4,168,5.4,0.315,15,-26.6,0
FL00236,AirFrance,MAD,LHR,6,2908.7,338,4.7,0.71,15,-9.1,0
FL00237,EasyJet,LHR,CDG,18,398.8,192,3.5,0.168,15,0.6,0
FL00238,EasyJet,AMS,FCO,3,2132.7,217,8.4,0.823,2,7.8,0
FL00239,EasyJet,AMS,LHR,13,627.7,206,10.0,0.349,3,-64.1,0
FL00240,Lufthansa,LHR,FCO,22,1422.0,299,2.3,0.207,2,59.9,1
FL00241,British,FRA,FCO,8,2209.9,166,7.3,0.267,17,57.5,1
FL00242,AirFrance,LHR,AMS,1,3476.0,144,2.2,0.322,8,26.6,0
FL00243,EasyJet,MAD,LHR,18,2323.7,292,1.7,0.769,13,34.9,1
FL00244,Ryanair,MAD,AMS,10,2162.3,127,5.1,0.358,3,13.0,0
FL00245,British,MAD,LHR,13,2939.5,333,8.5,0.578,19,36.4,1
FL00246,AirFrance,CDG,LHR,20,2808.4,315,,0.158,15,-25.2,0
FL00247,AirFrance,MAD,LHR,22,3210.1,234,9.4,0.655,9,42.1,1
FL00248,Lufthansa,CDG,AMS,20,1277.6,199,1.8,0.213,3,48.3,1
FL00249,Lufthansa,AMS,LHR,16,2475.9,84,,0.121,14,0.2,0
FL00250,Lufthansa,MAD,CDG,23,2879.1,132,8.9,0.773,25,-1.7,0
FL00251,Lufthansa,FCO,LHR,2,1997.6,84,2.5,0.213,24,45.0,1
FL00252,EasyJet,LHR,CDG,3,748.0,143,4.5,0.315,5,31.0,1
FL00253,Lufthansa,FRA,CDG,7,2070.9,225,7.2,0.658,10,29.4,0
FL00254,Lufthansa,FCO,MAD,9,2367.7,202,2.0,0.594,17,62.8,1
FL00255,AirFrance,FRA,MAD,4,1537.9,295,7.1,0.954,25,54.8,1
FL00256,AirFrance,FRA,LHR,1,3252.3,283,6.7,0.415,23,24.7,0
FL00257,EasyJet,CDG,FCO,17,2271.4,222,1.7,0.974,5,30.8,1
FL00258,AirFrance,FRA,AMS,23,3351.0,202,,0.434,15,4.4,0
FL00259,British,AMS,CDG,9,2431.5,169,7.4,0.164,12,-33.2,0
FL00260,Ryanair,LHR,MAD,4,2699.3,217,2.1,0.335,14,28.7,0
FL00261,Ryanair,AMS,CDG,8,2579.4,119,5.6,,19,32.3,1
FL00262,AirFrance,AMS,CDG,7,2670.5,81,,0.245,16,32.7,1
FL00263,Ryanair,MAD,LHR,5,3279.7,98,9.2,0.419,11,15.6,0
FL00264,Ryanair,FRA,CDG,18,1493.0,337,1.5,0.516,2,100.6,1
FL00265,EasyJet,CDG,AMS,9,2775.3,239,6.0,,7,-1.3,0
FL00266,British,LHR,AMS,11,2193.4,332,8.0,0.547,8,52.3,1
FL00267,Lufthansa,CDG,AMS,0,1045.6,257,7.2,,11,46.6,1
FL00268,Ryanair,CDG,FRA,16,3446.0,294,1.5,0.712,3,50.3,1
FL00269,AirFrance,LHR,FCO,13,2542.7,270,7.7,0.505,21,14.2,0
FL00270,British,CDG,AMS,21,3385.5,201,8.7,0.393,24,1.1,0
FL00271,Ryanair,FRA,AMS,8,1047.6,183,7.9,0.106,15,0.0,0
FL00272,British,FRA,LHR,14,1286.6,215,1.8,0.304,23,35.4,1
FL00273,British,CDG,FRA,10,774.6,207,4.6,,10,5.1,0
FL00274,AirFrance,MAD,AMS,17,2693.9,207,1.9,0.121,2,116.3,1
FL00275,Lufthansa,LHR,FRA,12,1491.2,123,3.3,0.022,3,41.6,1
FL00276,Lufthansa,CDG,MAD,3,436.6,316,,0.433,24,44.1,1
FL00277,EasyJet,MAD,CDG,12,2486.3,168,9.2,0.446,5,43.9,1
FL00278,Lufthansa,FCO,FRA,15,1618.4,325,3.5,0.199,17,37.5,1
FL00279,Lufthansa,FCO,AMS,0,3466.1,263,8.0,0.566,11,-2.0,0
FL00280,Ryanair,AMS,LHR,0,3166.4,223,,0.529,25,25.2,0
FL00281,British,LHR,FRA,3,1093.1,203,8.3,0.056,8,-53.3,0
FL00282,EasyJet,FRA,LHR,5,1057.0,242,7.3,0.028,23,-22.6,0
FL00283,Ryanair,AMS,FCO,4,2101.9,176,8.3,0.542,6,4.1,0
FL00284,Lufthansa,AMS,LHR,0,1984.6,80,6.5,0.341,6,10.7,0
FL00285,Ryanair,CDG,LHR,4,2177.1,152,8.6,0.961,12,19.6,0
FL00286,British,CDG,MAD,9,1332.3,160,4.9,0.487,11,-25.3,0
FL00287,Lufthansa,FCO,AMS,22,3146.7,262,6.3,0.307,23,5.7,0
FL00288,AirFrance,FCO,AMS,12,3022.4,96,3.9,0.611,21,45.0,1
FL00289,British,CDG,AMS,4,1359.7,119,9.8,0.885,3,41.2,1
FL00290,Ryanair,MAD,CDG,8,971.0,114,8.1,0.048,15,-8.5,0
FL00291,EasyJet,LHR,AMS,15,3121.7,259,1.9,0.864,21,45.9,1
FL00292,EasyJet,CDG,LHR,9,364.2,213,1.7,0.375,24,12.1,0
FL00293,AirFrance,AMS,CDG,10,2200.9,327,4.9,0.607,14,16.4,0
FL00294,Lufthansa,LHR,AMS,22,2073.2,215,3.7,0.393,18,39.6,1
FL00295,EasyJet,LHR,CDG,11,312.2,124,7.0,0.2,1,19.5,0
FL00296,AirFrance,MAD,CDG,9,2811.6,321,6.9,0.544,6,44.4,1
FL00297,Ryanair,MAD,FRA,5,1726.5,214,3.4,0.564,5,35.5,1
FL00298,AirFrance,FCO,FRA,17,1624.8,196,8.6,0.419,18,-17.1,0
FL00299,EasyJet,AMS,LHR,15,1256.3,282,7.4,0.9,19,9.7,0
FL00300,AirFrance,MAD,LHR,5,3410.9,178,4.8,0.435,21,-21.2,0
FL00301,Lufthansa,AMS,FRA,10,3214.6,114,6.0,0.857,17,-24.1,0
FL00302,British,AMS,FCO,13,660.1,156,6.3,0.94,4,38.2,1
FL00303,British,CDG,MAD,17,3116.4,290,6.9,0.473,6,17.8,0
FL00304,British,FCO,MAD,1,1566.5,249,1.4,0.269,12,43.8,1
FL00305,AirFrance,FRA,MAD,9,1197.1,331,7.2,0.228,10,36.7,1
FL00306,Ryanair,FRA,AMS,19,2365.8,176,9.2,0.484,17,20.6,0
FL00307,Ryanair,CDG,FCO,5,510.0,339,8.0,0.569,6,31.6,1
FL00308,AirFrance,LHR,CDG,14,461.8,264,3.5,0.505,21,74.3,1
FL00309,AirFrance,FCO,CDG,7,1491.9,308,8.8,0.35,6,30.1,1
FL00310,AirFrance,FRA,CDG,12,458.9,189,6.8,0.269,14,-6.5,0
FL00311,British,CDG,LHR,15,3216.8,168,1.1,0.805,10,35.9,1
FL00312,Ryanair,MAD,AMS,11,1768.8,191,7.1,0.397,4,-23.2,0
FL00313,AirFrance,AMS,FRA,17,2371.5,224,2.0,,9,8.5,0
FL00314,Ryanair,FCO,FRA,6,779.8,203,8.2,0.6,22,-23.4,0
FL00315,Ryanair,FCO,LHR,23,381.5,334,3.3,0.388,2,-35.2,0
FL00316,Lufthansa,FRA,LHR,21,2010.8,323,7.0,0.845,22,-15.4,0
FL00317,British,LHR,MAD,3,1806.5,212,6.0,0.947,11,15.0,0
FL00318,Lufthansa,FCO,FRA,13,2821.9,249,6.3,0.118,2,-4.6,0
FL00319,British,AMS,FCO,2,1811.1,179,8.8,0.298,2,19.8,0
FL00320,Lufthansa,FRA,AMS,18,3157.1,314,8.8,0.081,11,9.6,0
FL00321,Lufthansa,FRA,CDG,0,1746.6,187,2.5,0.49,25,32.4,1
