user_id,genre,sub_type,hour_of_day,listen_duration_s,nb_skips,nb_likes,device_type,explicit_content,engagement_score
U0036,electronic,premium,19,259.0,4,5,desktop,1,52.96
U0216,electronic,premium,21,77.0,9,4,mobile,1,41.22
U0221,classical,family,20,149.3,10,3,smart_speaker,0,47.04
U0318,jazz,free,7,90.7,3,0,mobile,1,68.22
U0394,pop,premium,13,185.4,6,1,mobile,0,89.21
U0399,hiphop,free,5,217.9,7,,mobile,0,29.58
U0411,hiphop,family,16,190.8,7,5,smart_speaker,1,48.54
U0381,hiphop,premium,8,256.8,4,4,desktop,0,46.42
U0040,electronic,premium,7,116.3,8,1,mobile,1,60.85
U0209,jazz,family,14,85.8,6,4,smart_speaker,0,58.6
U0392,classical,premium,15,,5,3,desktop,0,57.97
U0200,jazz,family,21,225.5,7,4,smart_speaker,0,73.55
U0304,classical,family,0,145.7,7,2,desktop,1,16.41
U0195,jazz,premium,8,157.0,8,,desktop,0,71.0
U0400,electronic,free,0,83.8,0,1,mobile,1,55.0
U0359,jazz,premium,5,290.2,1,1,desktop,0,62.53
U0476,jazz,family,21,131.3,3,,smart_speaker,0,28.31
U0308,pop,family,1,145.7,5,,smart_speaker,1,10.32
U0216,hiphop,free,13,201.6,7,3,mobile,1,64.04
U0239,hiphop,family,18,260.0,1,3,mobile,1,52.51
U0343,hiphop,premium,0,117.8,7,2,desktop,1,75.88
U0006,classical,free,2,139.7,8,5,desktop,1,30.76
U0009,pop,premium,7,95.7,10,3,smart_speaker,1,50.35
U0360,hiphop,premium,9,62.6,3,5,smart_speaker,0,39.32
U0379,hiphop,premium,23,235.3,9,0,mobile,1,39.23
U0274,rock,premium,1,179.4,2,3,mobile,0,65.66
U0241,hiphop,premium,10,43.9,7,0,desktop,1,27.62
U0077,classical,premium,2,62.0,6,4,mobile,1,45.1
U0227,jazz,family,13,197.7,9,0,mobile,0,31.05
U0283,pop,free,0,216.1,7,1,desktop,1,60.07
U0233,pop,family,7,242.7,10,1,desktop,0,37.18
U0424,rock,free,1,113.1,9,3,mobile,1,37.32
U0359,hiphop,premium,16,148.2,9,,desktop,1,66.92
U0346,classical,family,0,211.5,4,1,desktop,1,75.9
U0093,classical,premium,20,291.6,7,2,desktop,0,65.55
U0148,electronic,premium,17,,1,2,mobile,1,92.69
U0423,pop,family,17,44.6,8,3,smart_speaker,1,63.5
U0475,jazz,premium,22,37.8,10,1,smart_speaker,0,48.32
U0008,classical,premium,2,257.2,1,0,smart_speaker,0,57.92
U0140,hiphop,premium,15,178.8,6,4,smart_speaker,0,67.51
U0142,hiphop,premium,16,30.7,4,4,smart_speaker,1,78.22
U0171,classical,family,12,116.9,3,1,smart_speaker,1,37.05
U0398,hiphop,free,10,220.4,6,5,smart_speaker,0,53.92
U0303,jazz,free,14,275.8,0,3,smart_speaker,0,26.67
U0401,jazz,premium,19,205.5,5,4,desktop,1,74.64
U0278,pop,family,2,214.8,4,5,mobile,1,77.69
U0390,electronic,family,3,217.4,0,,mobile,1,36.08
U0211,classical,family,5,51.3,6,1,desktop,0,26.46
U0327,jazz,premium,8,272.7,7,5,smart_speaker,0,46.76
U0154,electronic,premium,22,258.2,3,3,mobile,0,44.88
U0184,classical,premium,22,294.0,10,0,smart_speaker,0,74.18
U0463,jazz,free,19,89.1,3,5,smart_speaker,0,42.57
U0463,electronic,family,1,149.0,9,1,mobile,1,24.98
U0403,classical,premium,16,103.6,2,3,desktop,1,80.97
U0240,pop,free,7,225.5,6,4,desktop,0,72.32
U0233,jazz,family,23,187.8,10,0,smart_speaker,0,39.16
U0318,classical,premium,19,47.1,7,2,smart_speaker,1,29.11
U0253,pop,free,7,66.6,7,5,smart_speaker,1,50.86
U0373,rock,premium,20,162.1,6,2,mobile,1,27.52
U0186,pop,family,11,294.0,5,,desktop,0,85.09
U0486,hiphop,free,21,202.7,0,,desktop,0,85.58
U0425,classical,free,18,264.8,5,4,mobile,1,66.23
U0075,rock,family,8,59.7,0,2,mobile,1,20.55
U0216,classical,free,23,151.0,5,0,desktop,0,80.87
U0023,electronic,family,16,203.7,0,,desktop,1,55.41
U0228,pop,free,10,47.7,4,4,smart_speaker,1,55.78
U0306,classical,premium,14,146.2,1,5,smart_speaker,0,62.11
U0424,hiphop,premium,13,114.4,5,2,mobile,1,33.68
U0426,pop,free,13,229.5,2,4,smart_speaker,1,51.42
U0482,hiphop,family,1,192.1,5,4,mobile,0,73.05
U0115,pop,premium,17,235.9,9,3,smart_speaker,0,54.81
U0015,rock,premium,22,278.8,5,,mobile,1,23.88
U0380,electronic,free,2,88.1,6,1,desktop,1,55.03
U0044,pop,free,5,43.4,1,5,desktop,1,51.21
U0213,jazz,free,16,146.1,4,4,desktop,1,14.16
U0004,rock,premium,6,236.3,4,0,desktop,1,47.16
U0195,classical,family,7,255.0,5,,smart_speaker,0,43.05
U0161,classical,premium,18,202.8,4,0,desktop,0,78.89
U0317,hiphop,family,11,258.0,3,3,smart_speaker,0,46.05
U0171,rock,free,16,173.3,3,2,desktop,0,40.95
U0075,jazz,free,5,235.3,10,,smart_speaker,1,28.14
U0349,classical,family,20,117.3,10,3,mobile,1,32.43
U0156,jazz,family,1,50.0,7,0,desktop,1,24.95
U0315,classical,family,12,179.7,0,4,smart_speaker,0,27.44
U0244,classical,free,1,249.0,5,0,smart_speaker,0,15.89
U0269,classical,family,5,277.8,6,2,smart_speaker,0,33.67
U0332,jazz,free,10,213.2,4,5,smart_speaker,0,36.17
U0180,jazz,family,22,64.8,1,3,smart_speaker,1,66.6
U0344,electronic,family,21,55.2,10,2,mobile,1,35.51
U0393,hiphop,free,7,71.8,4,0,smart_speaker,0,62.51
U0449,classical,free,19,73.8,9,1,smart_speaker,1,4.23
U0497,hiphop,family,9,241.6,3,2,desktop,0,56.68
U0485,classical,premium,14,240.1,8,1,mobile,0,81.05
U0191,classical,free,22,259.8,4,1,desktop,1,77.27
U0076,hiphop,free,7,268.9,0,3,smart_speaker,1,46.9
U0015,jazz,free,22,243.7,2,,desktop,0,65.26
U0241,hiphop,family,0,35.1,3,4,smart_speaker,1,30.07
U0025,rock,premium,20,153.4,1,3,smart_speaker,0,74.5
U0295,rock,family,4,30.4,5,3,mobile,0,38.72
U0279,classical,family,17,,7,,desktop,1,40.44
U0009,jazz,free,11,207.4,1,5,desktop,0,8.61
U0090,electronic,premium,22,79.2,2,,desktop,0,43.43
U0023,rock,free,10,169.2,8,0,smart_speaker,0,28.79
U0336,jazz,premium,3,148.0,6,3,desktop,0,47.86
U0255,jazz,family,8,226.3,1,1,smart_speaker,1,49.58
U0157,hiphop,family,22,216.2,5,5,desktop,1,47.15
U0406,pop,free,21,128.1,10,0,mobile,1,29.76
U0188,jazz,premium,18,,2,2,desktop,1,81.48
U0294,rock,family,11,205.4,3,0,smart_speaker,0,42.15
U0135,jazz,family,14,195.2,7,1,mobile,1,27.06
U0366,hiphop,free,21,296.4,10,0,smart_speaker,1,75.98
U0475,electronic,family,5,167.4,1,1,mobile,1,11.43
U0284,classical,premium,14,178.9,9,0,desktop,1,78.08
U0394,hiphop,family,2,115.6,1,5,smart_speaker,1,23.12
U0425,classical,family,18,290.9,6,0,mobile,0,38.07
U0116,jazz,family,9,97.7,10,2,mobile,1,62.77
U0048,classical,family,5,186.8,2,5,smart_speaker,1,56.79
U0015,pop,free,20,101.5,3,3,smart_speaker,0,49.07
U0322,classical,premium,20,160.4,10,3,mobile,0,21.77
U0175,classical,free,10,116.2,5,1,desktop,0,43.67
U0239,pop,premium,14,56.1,4,4,desktop,0,100
U0479,classical,family,10,73.0,8,2,desktop,0,6.96
U0202,classical,premium,7,125.3,0,4,smart_speaker,1,50.96
U0069,jazz,family,11,128.8,6,,smart_speaker,0,31.95
U0148,pop,premium,16,178.5,9,0,mobile,0,50.66
U0481,jazz,free,6,138.4,0,,mobile,1,61.25
U0266,hiphop,free,19,67.7,9,3,smart_speaker,1,41.08
U0251,electronic,family,9,34.5,5,3,smart_speaker,1,67.37
U0372,electronic,family,0,101.7,10,4,smart_speaker,0,49.05
U0323,electronic,family,12,213.8,0,5,mobile,0,18.69
U0161,hiphop,free,13,140.8,9,5,smart_speaker,0,47.15
U0340,hiphop,family,12,76.8,8,2,smart_speaker,1,50.4
U0099,rock,premium,17,284.2,4,5,mobile,1,38.18
U0408,electronic,premium,9,212.7,6,3,desktop,0,52.59
U0148,electronic,free,11,207.1,7,4,desktop,1,10.29
U0125,pop,family,16,92.9,1,5,desktop,0,58.8
U0071,pop,family,5,282.5,7,1,desktop,1,44.88
U0334,classical,free,17,259.6,0,1,desktop,0,81.01
U0019,hiphop,premium,5,289.8,4,0,desktop,0,86.22
U0329,classical,family,15,66.2,8,1,mobile,1,27.33
U0235,electronic,premium,22,228.9,4,1,mobile,1,76.23
U0343,pop,free,4,282.7,0,1,desktop,1,81.92
U0155,classical,family,18,,10,1,mobile,0,44.47
U0473,electronic,premium,22,277.4,4,1,mobile,0,68.96
U0233,electronic,family,11,178.3,7,5,mobile,0,39.22
U0270,hiphop,family,22,277.7,1,,smart_speaker,0,51.39
U0077,rock,premium,16,213.7,9,4,desktop,0,38.4
U0030,classical,premium,21,225.3,6,0,smart_speaker,0,53.96
U0024,hiphop,premium,22,298.4,1,3,mobile,1,61.15
U0374,electronic,premium,11,133.3,6,5,smart_speaker,0,45.68
U0179,pop,free,17,64.4,3,0,desktop,1,55.93
U0422,rock,free,14,104.4,1,,smart_speaker,1,54.18
U0480,pop,free,6,190.4,7,5,mobile,0,54.65
U0112,pop,free,16,93.2,9,4,smart_speaker,1,32.58
U0449,rock,family,16,111.1,0,4,smart_speaker,0,49.16
U0498,jazz,family,21,171.6,6,2,desktop,0,59.4
U0243,rock,free,9,69.0,7,4,desktop,1,47.41
U0105,jazz,family,2,258.7,1,1,mobile,1,47.08
U0310,classical,free,2,235.7,10,3,mobile,1,32.83
U0098,electronic,free,23,159.3,3,5,mobile,1,71.92
U0283,jazz,premium,12,205.2,4,4,desktop,1,44.86
U0430,jazz,free,11,42.3,3,0,desktop,1,36.66
U0101,jazz,free,12,96.3,8,5,desktop,1,43.01
U0379,hiphop,premium,5,125.1,2,3,mobile,0,67.35
U0430,pop,family,1,141.3,10,5,mobile,0,25.41
U0327,electronic,family,15,34.2,8,0,mobile,1,42.92
U0147,pop,family,22,247.7,2,0,smart_speaker,0,35.0
U0182,jazz,premium,2,139.6,9,5,mobile,1,56.87
U0435,pop,family,20,55.2,6,3,mobile,0,70.59
U0331,jazz,family,3,278.2,3,5,smart_speaker,1,43.94
U0474,pop,family,8,182.1,0,2,mobile,0,60.4
U0204,pop,premium,5,183.0,6,4,desktop,1,57.7
U0072,electronic,family,2,293.1,0,1,mobile,1,48.18
U0497,jazz,free,20,298.0,7,4,desktop,1,14.08
U0300,electronic,premium,2,109.8,3,0,desktop,0,53.78
U0200,jazz,premium,3,284.6,7,2,mobile,0,20.71
U0221,hiphop,family,17,57.9,1,0,smart_speaker,1,85.07
U0399,pop,family,17,294.1,9,5,desktop,0,23.97
U0155,jazz,premium,4,147.4,6,0,desktop,1,74.95
U0316,rock,premium,3,31.8,6,4,desktop,1,37.21
U0221,electronic,family,4,192.9,3,1,desktop,1,34.34
U0295,rock,premium,12,242.2,5,4,mobile,0,62.16
U0282,pop,family,14,86.6,4,0,desktop,1,31.36
U0079,electronic,premium,12,297.5,7,4,smart_speaker,1,58.39
U0405,jazz,family,17,276.9,1,5,smart_speaker,1,22.16
U0331,electronic,family,12,119.5,6,0,desktop,0,33.94
U0266,classical,family,22,150.4,6,5,smart_speaker,0,34.41
U0213,pop,free,23,114.2,7,4,desktop,1,44.15
U0225,electronic,family,14,111.1,1,,desktop,0,72.41
U0125,classical,free,17,181.2,7,3,smart_speaker,0,40.92
U0337,hiphop,premium,0,268.4,7,3,mobile,0,37.56
U0033,classical,free,17,118.0,7,5,desktop,1,31.27
U0313,hiphop,family,3,258.3,9,5,smart_speaker,1,60.04
U0161,pop,free,9,130.8,2,3,smart_speaker,0,53.08
U0217,rock,premium,20,278.2,2,3,desktop,0,47.3
U0444,jazz,free,15,250.1,8,3,desktop,1,25.62
U0431,hiphop,premium,5,38.3,3,2,mobile,1,32.39
U0393,hiphop,family,16,60.8,8,2,smart_speaker,0,64.09
U0226,classical,free,13,254.1,3,0,desktop,1,44.42
U0061,rock,free,23,124.7,9,1,smart_speaker,0,49.23
U0417,rock,free,18,105.9,8,5,desktop,1,53.55
U0461,electronic,free,4,242.1,0,5,mobile,0,32.15
U0365,jazz,free,21,68.4,10,3,desktop,1,18.32
U0207,classical,family,8,266.9,7,2,smart_speaker,0,48.98
U0434,electronic,free,23,201.4,5,4,desktop,0,82.32
U0166,jazz,premium,17,182.9,7,5,mobile,0,17.64
U0402,hiphop,free,3,72.7,7,,desktop,0,88.68
U0155,rock,premium,2,97.6,5,5,mobile,0,44.86
U0157,electronic,family,7,54.6,1,,desktop,0,29.76
U0005,pop,family,10,296.8,6,3,mobile,0,49.93
U0375,pop,free,10,110.8,6,1,smart_speaker,0,8.98
U0085,hiphop,premium,23,232.0,6,3,mobile,0,74.54
U0072,pop,family,23,290.1,5,1,desktop,0,29.59
U0146,electronic,free,21,85.5,9,5,desktop,1,41.19
U0402,rock,premium,12,164.9,9,,mobile,1,86.77
U0292,hiphop,premium,17,235.9,1,,mobile,0,62.45
U0021,pop,premium,16,222.4,6,3,mobile,0,38.13
U0105,rock,family,10,201.3,10,0,desktop,1,62.7
U0434,rock,free,7,147.3,7,0,desktop,0,13.91
U0084,hiphop,premium,16,252.1,4,1,smart_speaker,1,66.97
U0061,pop,premium,13,47.2,9,3,desktop,1,31.39
U0081,jazz,free,18,61.1,8,,mobile,0,9.02
U0187,hiphop,free,5,261.5,8,5,smart_speaker,1,28.67
U0164,jazz,free,18,165.6,0,4,mobile,1,41.93
U0239,jazz,premium,10,153.3,5,4,desktop,0,50.01
U0396,rock,family,17,96.2,0,0,mobile,1,53.07
U0356,pop,premium,0,131.6,4,4,mobile,1,89.85
U0365,jazz,free,1,272.3,8,2,desktop,0,54.86
U0259,rock,family,12,183.3,6,1,mobile,1,19.95
U0359,electronic,premium,10,93.1,3,4,mobile,0,49.53
U0231,hiphop,premium,13,126.7,3,3,desktop,0,42.84
U0361,electronic,family,1,261.3,2,1,desktop,1,44.44
U0347,jazz,premium,5,,6,4,smart_speaker,0,37.08
U0063,pop,free,7,252.4,5,5,mobile,1,88.54
U0039,pop,free,6,149.7,2,2,mobile,0,98.79
U0222,electronic,premium,15,,10,2,mobile,0,42.18
U0229,rock,free,19,96.4,4,4,desktop,0,19.08
U0330,classical,free,20,176.8,0,5,desktop,1,58.26
U0249,jazz,family,16,103.0,0,1,mobile,1,33.32
U0393,classical,free,5,207.4,4,5,mobile,0,54.02
U0409,hiphop,premium,5,190.0,5,0,smart_speaker,1,82.37
U0097,hiphop,family,9,40.3,0,1,mobile,1,21.04
U0470,classical,free,4,77.9,5,,mobile,0,75.51
U0492,pop,premium,22,136.8,1,2,mobile,0,65.89
U0224,electronic,premium,20,220.9,8,4,desktop,0,63.01
U0376,electronic,premium,4,30.5,9,4,mobile,0,48.97
U0472,classical,free,20,282.9,2,0,mobile,1,87.16
U0046,electronic,family,20,120.7,0,1,smart_speaker,0,55.51
U0403,pop,family,0,,7,1,desktop,1,63.3
U0425,hiphop,family,20,90.9,7,,mobile,1,22.45
U0134,pop,free,10,131.4,1,0,desktop,1,56.69
U0311,hiphop,free,1,85.5,3,4,smart_speaker,1,69.51
U0153,rock,free,1,178.4,7,2,mobile,1,20.28
U0246,rock,free,0,202.3,1,0,desktop,1,38.24
U0459,electronic,premium,2,134.6,5,2,mobile,1,26.86
U0429,jazz,family,1,218.0,1,2,smart_speaker,1,80.55
U0302,rock,family,1,251.0,6,5,desktop,0,53.77
U0366,pop,family,18,246.1,10,1,mobile,1,33.59
U0086,rock,free,4,,1,3,mobile,0,69.18
U0469,pop,free,12,179.1,4,0,smart_speaker,1,49.32
U0077,rock,family,18,290.5,1,4,mobile,1,84.02
U0136,hiphop,family,15,157.7,2,1,smart_speaker,1,16.11
U0456,jazz,family,7,,7,2,mobile,1,56.92
U0252,electronic,family,3,91.5,4,3,desktop,1,69.86
U0310,electronic,free,6,276.6,6,4,desktop,0,44.65
U0260,hiphop,free,16,37.8,3,1,mobile,0,32.79
U0026,jazz,family,6,252.3,8,0,smart_speaker,0,15.84
U0492,hiphop,family,17,74.1,4,5,mobile,1,27.26
U0026,rock,family,6,204.8,10,5,desktop,0,73.73
U0243,rock,family,5,32.3,4,2,smart_speaker,1,42.95
U0193,jazz,premium,8,111.6,8,3,smart_speaker,0,41.29
U0430,jazz,family,20,106.3,10,0,desktop,1,48.36
U0442,jazz,premium,20,270.9,4,4,mobile,0,81.83
U0339,jazz,family,4,207.0,4,3,desktop,1,53.95
U0299,electronic,family,6,222.6,10,3,smart_speaker,1,49.09
U0449,classical,free,9,64.5,4,4,mobile,1,46.61
U0114,jazz,free,23,143.5,5,4,desktop,1,55.3
U0299,classical,family,2,82.5,1,3,smart_speaker,1,47.74
U0446,rock,free,6,296.5,7,5,mobile,0,35.86
U0325,pop,free,14,235.5,2,1,desktop,0,29.1
U0223,electronic,premium,12,158.9,0,,mobile,1,97.48
U0272,rock,free,21,,3,2,desktop,0,17.72
U0258,classical,premium,5,42.3,4,4,smart_speaker,1,54.36
U0462,hiphop,premium,6,274.9,6,,mobile,0,33.72
U0012,classical,family,5,222.0,0,5,desktop,0,59.29
U0429,pop,free,22,150.0,1,3,smart_speaker,0,38.47
U0352,electronic,free,9,57.3,8,4,smart_speaker,0,42.83
U0317,pop,premium,3,164.4,9,2,smart_speaker,0,40.78
U0210,jazz,free,1,275.8,7,0,mobile,0,70.48
U0077,pop,family,2,57.3,4,3,desktop,1,42.63
U0052,rock,free,9,212.7,6,0,mobile,0,58.59
U0184,hiphop,family,8,55.1,5,3,desktop,1,37.13
U0198,electronic,premium,13,245.2,1,5,mobile,0,44.02
U0292,electronic,premium,5,240.4,9,,smart_speaker,0,44.12
U0250,pop,premium,14,,4,0,smart_speaker,0,90.17
U0268,electronic,family,19,208.7,3,5,smart_speaker,1,22.55
U0424,classical,family,1,,2,3,desktop,0,18.56
U0497,jazz,free,16,203.7,6,0,desktop,1,58.39
U0230,pop,premium,14,294.8,10,,desktop,1,12.9
U0406,classical,family,20,167.3,3,3,desktop,1,64.98
U0419,rock,premium,10,197.3,7,2,smart_speaker,1,27.17
U0175,jazz,family,9,131.0,1,,mobile,1,22.77
U0368,electronic,family,13,194.9,3,3,mobile,1,72.12
U0388,hiphop,free,20,189.0,7,4,smart_speaker,0,79.6
U0003,classical,family,1,146.9,9,4,mobile,0,59.31
U0308,classical,premium,16,143.0,9,1,desktop,1,83.53
U0497,jazz,premium,4,192.7,8,5,smart_speaker,1,73.12
U0103,rock,family,22,123.2,10,5,smart_speaker,0,35.77
U0356,electronic,premium,22,125.1,7,5,smart_speaker,1,68.22
U0450,hiphop,free,16,132.8,0,1,desktop,0,77.9
U0350,jazz,free,1,109.7,8,,desktop,0,42.33
U0115,electronic,family,17,167.9,4,0,desktop,1,35.82
U0404,electronic,premium,17,230.8,3,3,mobile,1,64.89
U0398,electronic,free,9,295.5,1,1,smart_speaker,0,39.49
U0220,jazz,family,8,187.7,4,,desktop,0,32.11
U0397,electronic,family,21,243.3,8,5,desktop,0,62.74
U0267,pop,family,5,175.0,1,1,smart_speaker,1,39.56
U0317,classical,premium,17,294.9,0,2,desktop,0,100
U0315,classical,free,1,116.7,1,4,smart_speaker,1,7.83
U0264,classical,premium,15,,10,4,mobile,0,28.59
U0490,classical,family,0,86.9,10,5,desktop,0,30.14
U0380,hiphop,family,2,71.5,7,0,mobile,0,3.8
U0407,jazz,family,2,91.5,4,3,smart_speaker,1,57.88
U0274,pop,family,23,234.1,9,,mobile,1,71.95
U0055,jazz,family,9,106.0,7,5,mobile,1,21.87
U0408,classical,premium,20,212.9,10,0,smart_speaker,0,40.42
U0003,classical,family,12,285.7,4,5,smart_speaker,1,45.66
U0073,rock,free,7,98.2,1,4,mobile,1,49.95
U0038,jazz,family,2,83.3,9,2,desktop,0,50.91
U0036,rock,premium,15,196.4,4,1,smart_speaker,1,84.99
U0491,hiphop,free,0,242.1,10,2,mobile,1,60.34
U0157,hiphop,family,3,193.8,4,1,smart_speaker,0,42.54
U0454,electronic,free,23,35.0,8,4,smart_speaker,1,56.66
U0134,classical,family,15,70.1,6,4,smart_speaker,1,20.16
U0257,classical,free,12,32.9,3,4,smart_speaker,0,68.43
U0290,classical,family,4,160.5,5,,desktop,0,27.41
U0190,rock,free,21,275.1,5,3,mobile,0,73.24
U0267,electronic,premium,23,177.0,2,3,desktop,0,72.15
U0193,rock,family,12,264.3,7,4,mobile,0,37.6
U0144,rock,free,5,192.5,1,3,desktop,0,58.43
U0246,hiphop,free,18,255.0,0,1,smart_speaker,0,16.3
U0076,pop,free,8,169.5,6,4,smart_speaker,0,66.37
U0373,electronic,premium,2,193.8,7,1,mobile,1,60.15
U0094,classical,family,16,225.5,5,4,smart_speaker,0,19.54
U0198,rock,free,0,262.1,8,1,smart_speaker,0,29.47
U0450,classical,family,3,208.0,9,0,smart_speaker,1,35.05
U0190,pop,family,16,283.4,7,3,desktop,0,40.14
U0466,pop,premium,19,140.3,3,,smart_speaker,0,83.31
U0061,classical,free,12,215.7,5,0,mobile,1,58.74
U0217,classical,premium,19,213.8,3,4,desktop,0,67.93
U0285,hiphop,premium,9,239.0,6,5,mobile,0,50.31
U0110,classical,premium,10,195.8,10,1,desktop,0,63.75
U0422,rock,premium,19,47.3,3,4,mobile,1,76.36
U0147,electronic,family,1,251.5,10,0,mobile,1,28.52
U0402,classical,family,16,196.1,10,,mobile,0,74.03
U0205,jazz,family,12,84.1,0,0,mobile,1,66.9
U0287,classical,premium,11,104.7,9,3,desktop,0,32.5
U0038,classical,premium,10,246.8,4,4,desktop,1,90.05
U0289,hiphop,free,10,153.9,7,0,desktop,0,20.03
U0113,electronic,family,7,141.4,5,0,smart_speaker,1,44.38
U0048,hiphop,family,23,50.5,2,2,mobile,1,35.52
U0098,hiphop,family,6,95.4,4,1,mobile,1,15.9
U0055,pop,free,21,163.0,0,4,mobile,1,40.44
U0452,classical,premium,15,236.4,8,1,smart_speaker,0,38.92
U0410,hiphop,premium,17,,5,5,mobile,1,90.75
U0353,pop,free,21,186.9,5,2,mobile,1,30.81
U0242,classical,premium,11,144.5,6,2,desktop,1,38.59
U0295,electronic,free,3,247.1,8,3,mobile,0,61.84
U0379,rock,premium,0,164.9,10,5,desktop,1,28.42
U0204,pop,family,5,249.7,7,0,desktop,1,26.64
U0185,classical,family,8,141.2,5,4,mobile,0,77.23
U0262,hiphop,family,14,132.9,4,1,mobile,1,57.24
U0314,classical,premium,2,122.8,5,2,smart_speaker,1,53.07
U0400,jazz,family,18,151.6,2,0,mobile,0,69.94
U0482,electronic,family,23,75.1,1,3,smart_speaker,0,10.72
U0043,pop,premium,19,206.8,6,1,smart_speaker,1,59.8
U0065,rock,family,5,,10,2,desktop,1,62.32
U0228,rock,family,17,191.3,10,4,desktop,1,62.93
U0247,classical,free,2,128.8,4,0,mobile,0,39.62
U0473,hiphop,premium,9,,6,4,mobile,0,58.09
U0097,hiphop,family,13,74.1,10,3,mobile,1,12.95
U0410,classical,family,21,205.1,8,3,mobile,0,14.11
U0149,pop,family,14,103.5,9,2,mobile,0,12.97
U0053,jazz,premium,4,226.3,3,0,desktop,0,49.4
U0160,hiphop,premium,14,38.6,1,1,mobile,1,89.66
U0099,jazz,premium,0,237.4,3,3,mobile,0,45.86
U0377,pop,family,21,157.7,10,2,mobile,0,55.8
U0247,electronic,premium,6,44.1,10,0,mobile,1,38.22
U0086,jazz,family,3,95.6,0,5,desktop,0,46.25
U0047,electronic,family,10,299.2,10,,desktop,0,54.58
U0406,pop,free,15,295.1,10,3,smart_speaker,0,7.04
U0129,pop,premium,22,109.6,7,1,smart_speaker,1,53.34
U0240,jazz,family,17,173.4,7,2,smart_speaker,1,38.79
U0376,rock,free,19,239.5,3,0,smart_speaker,1,22.02
U0350,hiphop,family,4,117.1,10,0,smart_speaker,0,22.27
U0017,rock,free,15,38.6,10,5,desktop,1,11.03
U0114,classical,family,2,,3,0,desktop,0,40.97
U0421,jazz,family,1,101.8,0,2,mobile,0,60.83
U0050,pop,family,7,81.2,8,4,smart_speaker,0,36.13
U0393,electronic,family,11,219.7,6,1,mobile,1,35.55
U0337,rock,family,19,125.1,5,2,desktop,1,54.19
U0312,rock,family,17,236.7,4,3,desktop,1,25.45
U0018,jazz,family,0,298.2,4,,mobile,0,86.07
U0354,jazz,family,16,280.0,2,3,desktop,0,30.32
U0188,classical,free,7,111.1,9,1,smart_speaker,0,54.73
U0423,electronic,family,18,55.7,10,5,smart_speaker,1,9.96
U0029,jazz,premium,13,264.3,3,4,mobile,1,26.31
U0290,rock,premium,16,71.4,10,3,desktop,0,32.25
U0149,hiphop,free,4,158.5,0,2,mobile,1,55.74
U0070,hiphop,family,6,206.1,3,5,smart_speaker,0,35.36
U0137,hiphop,premium,21,54.2,10,2,desktop,0,42.77
U0157,rock,premium,19,246.8,9,0,mobile,0,60.14
U0080,electronic,free,3,95.6,9,2,mobile,1,58.32
U0012,jazz,free,23,85.0,8,4,desktop,0,57.33
U0343,pop,premium,18,172.2,4,2,mobile,1,37.6
U0199,electronic,premium,21,208.2,1,,smart_speaker,1,43.01
